Country,Coffee type,Total_domestic_consumption
Angola,Robusta/Arabica,46500000
Bolivia (Plurinational State of),Arabica,75180000
Brazil,Arabica/Robusta,27824700000
Burundi,Arabica/Robusta,3412020
Ecuador,Arabica/Robusta,381540000
Indonesia,Robusta/Arabica,4920480000
Madagascar,Robusta,588705960
Malawi,Arabica,2340000
Papua New Guinea,Arabica/Robusta,3608400
Paraguay,Arabica,35100000
Peru,Arabica,402000000
Rwanda,Arabica,2139960
Timor-Leste,Arabica,294000
Zimbabwe,Arabica,8595960
Congo,Robusta,5360040
Cuba,Arabica,384006000
Dominican Republic,Arabica/Robusta,642823380
Haiti,Arabica,600600000
Philippines,Robusta/Arabica,2807280000
Tanzania,Arabica/Robusta,76425060
Zambia,Arabica,991920
Cameroon,Robusta/Arabica,143450940
Central African Republic,Robusta,24794400
Colombia,Arabica,2536776384
Costa Rica,Arabica,665335200
C̫te d'Ivoire,Robusta,410260140
Democratic Republic of Congo,Robusta/Arabica,359880000
El Salvador,Arabica,417242040
Equatorial Guinea,Robusta,0
Ethiopia,Arabica,4536540000
Gabon,Robusta,1123140
Ghana,Robusta,9970800
Guatemala,Arabica/Robusta,590880000
Guinea,Robusta,86730000
Guyana,Robusta,9203040
Honduras,Arabica,471850680
India,Robusta/Arabica,2093460000
Jamaica,Arabica,18688020
Kenya,Arabica,95190000
Lao People's Democratic Republic,Robusta,157980000
Liberia,Robusta,8640000
Mexico,Arabica/Robusta,3189660000
Nepal,Arabica,0
Nicaragua,Arabica,299700300
Nigeria,Robusta,70740000
Panama,Arabica,122916960
Sierra Leone,Robusta,10080000
Sri Lanka,Robusta/Arabica,58300020
Thailand,Robusta/Arabica,1248600000
Togo,Robusta,2167620
Trinidad & Tobago,Robusta,21090000
Uganda,Robusta/Arabica,284816400
Venezuela,Arabica,2386067999
Viet Nam,Robusta/Arabica,1920928320
Yemen,Arabica,121620000
